# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 9.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
10            	-1.711045e+02	-8.782291e+01	-8.328160e+01	4.541307e+01	-9.024127e+01	1.356543e+02	-1.129478e+02	-2.270653e+00	-8.555225e+00	-4.691110e-17	-8.555225e+00	8.555225e+00
20            	2.136123e+01	1.099478e+01	1.036645e+01	-6.283292e+00	9.921641e+00	-1.620493e+01	1.306329e+01	3.141646e-01	1.068062e+00	3.917223e-18	1.068062e+00	-1.068062e+00
30            	3.923934e+00	2.039718e+00	1.884216e+00	-1.555012e+00	1.096238e+00	-2.651250e+00	1.873744e+00	7.775060e-02	1.961967e-01	1.069090e-18	1.961967e-01	-1.961967e-01
40            	2.657193e+00	1.320070e+00	1.337124e+00	1.705440e-01	5.849769e-01	-4.144329e-01	4.997049e-01	-8.527201e-03	1.328597e-01	5.216654e-19	1.328597e-01	-1.328597e-01
50            	3.011549e+00	1.530014e+00	1.481535e+00	-4.847952e-01	6.895858e-01	-1.174381e+00	9.319834e-01	2.423976e-02	1.505775e-01	7.006936e-19	1.505775e-01	-1.505775e-01
60            	3.060182e+00	1.561461e+00	1.498721e+00	-6.274025e-01	7.194270e-01	-1.346830e+00	1.033128e+00	3.137013e-02	1.530091e-01	7.768241e-19	1.530091e-01	-1.530091e-01
70            	3.027724e+00	1.554472e+00	1.473252e+00	-8.121955e-01	7.043920e-01	-1.516588e+00	1.110490e+00	4.060977e-02	1.513862e-01	7.781914e-19	1.513862e-01	-1.513862e-01
80            	3.035012e+00	1.561635e+00	1.473376e+00	-8.825905e-01	7.326026e-01	-1.615193e+00	1.173898e+00	4.412952e-02	1.517506e-01	8.017837e-19	1.517506e-01	-1.517506e-01
90            	3.022015e+00	1.559532e+00	1.462483e+00	-9.704918e-01	7.555522e-01	-1.726044e+00	1.240798e+00	4.852459e-02	1.511008e-01	8.280916e-19	1.511008e-01	-1.511008e-01
100           	3.000561e+00	1.554463e+00	1.446098e+00	-1.083658e+00	7.687551e-01	-1.852413e+00	1.310584e+00	5.418290e-02	1.500280e-01	8.417155e-19	1.500280e-01	-1.500280e-01
110           	2.989716e+00	1.553533e+00	1.436183e+00	-1.173498e+00	7.982549e-01	-1.971752e+00	1.385004e+00	5.867488e-02	1.494858e-01	8.853837e-19	1.494858e-01	-1.494858e-01
120           	2.987190e+00	1.557475e+00	1.429715e+00	-1.277599e+00	8.308160e-01	-2.108415e+00	1.469615e+00	6.387994e-02	1.493595e-01	8.546674e-19	1.493595e-01	-1.493595e-01
130           	2.993162e+00	1.566200e+00	1.426962e+00	-1.392384e+00	8.678186e-01	-2.260202e+00	1.564010e+00	6.961919e-02	1.496581e-01	8.340176e-19	1.496581e-01	-1.496581e-01
140           	3.005213e+00	1.577795e+00	1.427418e+00	-1.503772e+00	9.079435e-01	-2.411716e+00	1.659830e+00	7.518861e-02	1.502606e-01	8.362612e-19	1.502606e-01	-1.502606e-01
150           	3.014794e+00	1.589351e+00	1.425443e+00	-1.639087e+00	9.426258e-01	-2.581713e+00	1.762169e+00	8.195436e-02	1.507397e-01	8.559220e-19	1.507397e-01	-1.507397e-01
160           	3.010175e+00	1.594294e+00	1.415881e+00	-1.784128e+00	9.599835e-01	-2.744111e+00	1.852047e+00	8.920639e-02	1.505087e-01	8.147819e-19	1.505087e-01	-1.505087e-01
170           	2.973516e+00	1.582981e+00	1.390536e+00	-1.924452e+00	9.450625e-01	-2.869514e+00	1.907288e+00	9.622258e-02	1.486758e-01	7.283226e-19	1.486758e-01	-1.486758e-01
180           	2.892041e+00	1.548730e+00	1.343310e+00	-2.054199e+00	8.910080e-01	-2.945207e+00	1.918107e+00	1.027099e-01	1.446020e-01	8.472944e-19	1.446020e-01	-1.446020e-01
190           	2.775888e+00	1.496583e+00	1.279305e+00	-2.172780e+00	8.111178e-01	-2.983898e+00	1.897508e+00	1.086390e-01	1.387944e-01	9.016665e-19	1.387944e-01	-1.387944e-01
200           	2.640738e+00	1.434672e+00	1.206066e+00	-2.286064e+00	7.217474e-01	-3.007812e+00	1.864780e+00	1.143032e-01	1.320369e-01	9.541355e-19	1.320369e-01	-1.320369e-01
210           	2.510048e+00	1.374477e+00	1.135571e+00	-2.389059e+00	6.420730e-01	-3.031132e+00	1.836603e+00	1.194530e-01	1.255024e-01	9.720781e-19	1.255024e-01	-1.255024e-01
220           	2.395593e+00	1.321907e+00	1.073686e+00	-2.482209e+00	5.822529e-01	-3.064461e+00	1.823357e+00	1.241104e-01	1.197797e-01	1.014808e-18	1.197797e-01	-1.197797e-01
230           	2.306549e+00	1.280616e+00	1.025934e+00	-2.546819e+00	5.523574e-01	-3.099176e+00	1.825767e+00	1.273410e-01	1.153275e-01	9.817597e-19	1.153275e-01	-1.153275e-01
240           	2.237634e+00	1.247142e+00	9.904915e-01	-2.566506e+00	5.509220e-01	-3.117428e+00	1.834175e+00	1.283253e-01	1.118817e-01	9.664987e-19	1.118817e-01	-1.118817e-01
250           	2.182607e+00	1.217841e+00	9.647661e-01	-2.530749e+00	5.714824e-01	-3.102231e+00	1.836857e+00	1.265374e-01	1.091304e-01	9.664039e-19	1.091304e-01	-1.091304e-01
260           	2.135842e+00	1.189789e+00	9.460521e-01	-2.437373e+00	6.045322e-01	-3.041906e+00	1.823219e+00	1.218687e-01	1.067921e-01	9.710796e-19	1.067921e-01	-1.067921e-01
270           	2.094575e+00	1.163211e+00	9.313645e-01	-2.318464e+00	6.392583e-01	-2.957722e+00	1.798490e+00	1.159232e-01	1.047288e-01	9.551300e-19	1.047288e-01	-1.047288e-01
280           	2.047650e+00	1.134222e+00	9.134282e-01	-2.207941e+00	6.593257e-01	-2.867267e+00	1.763296e+00	1.103970e-01	1.023825e-01	8.408242e-19	1.023825e-01	-1.023825e-01
290           	1.976620e+00	1.093889e+00	8.827312e-01	-2.111580e+00	6.557069e-01	-2.767287e+00	1.711497e+00	1.055790e-01	9.883102e-02	8.144059e-19	9.883102e-02	-9.883102e-02
300           	1.910244e+00	1.059270e+00	8.509734e-01	-2.082971e+00	6.339887e-01	-2.716959e+00	1.675474e+00	1.041485e-01	9.551219e-02	8.662877e-19	9.551219e-02	-9.551219e-02
310           	1.840094e+00	1.026331e+00	8.137628e-01	-2.125683e+00	5.971099e-01	-2.722793e+00	1.659952e+00	1.062842e-01	9.200470e-02	7.964176e-19	9.200470e-02	-9.200470e-02
320           	1.801184e+00	1.011659e+00	7.895248e-01	-2.221343e+00	5.651468e-01	-2.786490e+00	1.675818e+00	1.110672e-01	9.005920e-02	6.981624e-19	9.005920e-02	-9.005920e-02
330           	1.787319e+00	1.011940e+00	7.753787e-01	-2.365612e+00	5.387454e-01	-2.904358e+00	1.721552e+00	1.182806e-01	8.936593e-02	7.090718e-19	8.936593e-02	-8.936593e-02
340           	1.798995e+00	1.025500e+00	7.734950e-01	-2.520048e+00	5.163703e-01	-3.036418e+00	1.776394e+00	1.260024e-01	8.994974e-02	6.638109e-19	8.994974e-02	-8.994974e-02
350           	1.820666e+00	1.043438e+00	7.772278e-01	-2.662099e+00	4.996171e-01	-3.161716e+00	1.830667e+00	1.331050e-01	9.103328e-02	6.812852e-19	9.103328e-02	-9.103328e-02
360           	1.851627e+00	1.064720e+00	7.869072e-01	-2.778126e+00	4.912833e-01	-3.269409e+00	1.880346e+00	1.389063e-01	9.258135e-02	7.030484e-19	9.258135e-02	-9.258135e-02
370           	1.884661e+00	1.084531e+00	8.001300e-01	-2.844013e+00	4.921438e-01	-3.336157e+00	1.914151e+00	1.422007e-01	9.423307e-02	7.754374e-19	9.423307e-02	-9.423307e-02
380           	1.925634e+00	1.106361e+00	8.192728e-01	-2.870880e+00	5.028905e-01	-3.373771e+00	1.938331e+00	1.435440e-01	9.628168e-02	9.594567e-19	9.628168e-02	-9.628168e-02
390           	1.965587e+00	1.125452e+00	8.401349e-01	-2.853176e+00	5.216193e-01	-3.374796e+00	1.948207e+00	1.426588e-01	9.827937e-02	8.944032e-19	9.827937e-02	-9.827937e-02
400           	2.007508e+00	1.143325e+00	8.641830e-01	-2.791416e+00	5.500416e-01	-3.341458e+00	1.945750e+00	1.395708e-01	1.003754e-01	8.256600e-19	1.003754e-01	-1.003754e-01
410           	2.036621e+00	1.153867e+00	8.827537e-01	-2.711131e+00	5.783586e-01	-3.289490e+00	1.933924e+00	1.355566e-01	1.018310e-01	7.809148e-19	1.018310e-01	-1.018310e-01
420           	2.063681e+00	1.161723e+00	9.019581e-01	-2.597649e+00	6.137087e-01	-3.211357e+00	1.912533e+00	1.298824e-01	1.031841e-01	8.081169e-19	1.031841e-01	-1.031841e-01
430           	2.078898e+00	1.163781e+00	9.151167e-01	-2.486645e+00	6.454359e-01	-3.132081e+00	1.888758e+00	1.243322e-01	1.039449e-01	7.682378e-19	1.039449e-01	-1.039449e-01
440           	2.086852e+00	1.162513e+00	9.243385e-01	-2.381746e+00	6.738756e-01	-3.055621e+00	1.864748e+00	1.190873e-01	1.043426e-01	7.011285e-19	1.043426e-01	-1.043426e-01
450           	2.090154e+00	1.158624e+00	9.315300e-01	-2.270940e+00	7.020545e-01	-2.972995e+00	1.837525e+00	1.135470e-01	1.045077e-01	5.482332e-19	1.045077e-01	-1.045077e-01
460           	2.088495e+00	1.153154e+00	9.353408e-01	-2.178130e+00	7.234108e-01	-2.901541e+00	1.812476e+00	1.089065e-01	1.044247e-01	5.619807e-19	1.044247e-01	-1.044247e-01
470           	2.084517e+00	1.147192e+00	9.373248e-01	-2.098676e+00	7.392359e-01	-2.837912e+00	1.788574e+00	1.049338e-01	1.042259e-01	6.587987e-19	1.042259e-01	-1.042259e-01
480           	2.079411e+00	1.141721e+00	9.376902e-01	-2.040304e+00	7.482447e-01	-2.788549e+00	1.768397e+00	1.020152e-01	1.039705e-01	6.587128e-19	1.039705e-01	-1.039705e-01
490           	2.074582e+00	1.137410e+00	9.371727e-01	-2.002371e+00	7.514965e-01	-2.753868e+00	1.752682e+00	1.001186e-01	1.037291e-01	6.884718e-19	1.037291e-01	-1.037291e-01
500           	2.070066e+00	1.134220e+00	9.358458e-01	-1.983739e+00	7.498750e-01	-2.733614e+00	1.741745e+00	9.918695e-02	1.035033e-01	6.682222e-19	1.035033e-01	-1.035033e-01
510           	2.068434e+00	1.133209e+00	9.352250e-01	-1.979836e+00	7.459975e-01	-2.725834e+00	1.735916e+00	9.899182e-02	1.034217e-01	6.419032e-19	1.034217e-01	-1.034217e-01
520           	2.069103e+00	1.133875e+00	9.352281e-01	-1.986466e+00	7.410091e-01	-2.727475e+00	1.734242e+00	9.932331e-02	1.034551e-01	6.333265e-19	1.034551e-01	-1.034551e-01
530           	2.073475e+00	1.136662e+00	9.368138e-01	-1.998478e+00	7.372673e-01	-2.735745e+00	1.736506e+00	9.992388e-02	1.036738e-01	6.458017e-19	1.036738e-01	-1.036738e-01
540           	2.081685e+00	1.141306e+00	9.403794e-01	-2.009263e+00	7.363561e-01	-2.745619e+00	1.740988e+00	1.004632e-01	1.040843e-01	6.450898e-19	1.040843e-01	-1.040843e-01
550           	2.093368e+00	1.147342e+00	9.460266e-01	-2.013152e+00	7.394710e-01	-2.752623e+00	1.746047e+00	1.006576e-01	1.046684e-01	5.830621e-19	1.046684e-01	-1.046684e-01
560           	2.106255e+00	1.153341e+00	9.529137e-01	-2.004274e+00	7.466418e-01	-2.750916e+00	1.748779e+00	1.002137e-01	1.053127e-01	5.002872e-19	1.053127e-01	-1.053127e-01
570           	2.120119e+00	1.159111e+00	9.610076e-01	-1.981036e+00	7.576798e-01	-2.738716e+00	1.748198e+00	9.905182e-02	1.060059e-01	5.049734e-19	1.060059e-01	-1.060059e-01
580           	2.132583e+00	1.163486e+00	9.690975e-01	-1.943883e+00	7.712378e-01	-2.715121e+00	1.743179e+00	9.719414e-02	1.066292e-01	4.934771e-19	1.066292e-01	-1.066292e-01
590           	2.142411e+00	1.166031e+00	9.763809e-01	-1.896497e+00	7.858324e-01	-2.682329e+00	1.734081e+00	9.482485e-02	1.071206e-01	4.837544e-19	1.071206e-01	-1.071206e-01
600           	2.148083e+00	1.166409e+00	9.816744e-01	-1.847348e+00	7.990558e-01	-2.646403e+00	1.722730e+00	9.236738e-02	1.074042e-01	4.759072e-19	1.074042e-01	-1.074042e-01
610           	2.150944e+00	1.164792e+00	9.861525e-01	-1.786394e+00	8.130849e-01	-2.599479e+00	1.706282e+00	8.931968e-02	1.075472e-01	4.718692e-19	1.075472e-01	-1.075472e-01
620           	2.149877e+00	1.161771e+00	9.881054e-01	-1.736657e+00	8.231034e-01	-2.559761e+00	1.691432e+00	8.683287e-02	1.074938e-01	4.662557e-19	1.074938e-01	-1.074938e-01
630           	2.145890e+00	1.157572e+00	9.883175e-01	-1.692547e+00	8.304015e-01	-2.522949e+00	1.676675e+00	8.462736e-02	1.072945e-01	4.614943e-19	1.072945e-01	-1.072945e-01
640           	2.141089e+00	1.153765e+00	9.873244e-01	-1.664401e+00	8.337985e-01	-2.498200e+00	1.665999e+00	8.322007e-02	1.070544e-01	4.655081e-19	1.070544e-01	-1.070544e-01
650           	2.134577e+00	1.149524e+00	9.850531e-01	-1.644705e+00	8.342974e-01	-2.479002e+00	1.656650e+00	8.223523e-02	1.067288e-01	4.684342e-19	1.067288e-01	-1.067288e-01
660           	2.129384e+00	1.146641e+00	9.827430e-01	-1.638981e+00	8.321195e-01	-2.471101e+00	1.651610e+00	8.194905e-02	1.064692e-01	4.683246e-19	1.064692e-01	-1.064692e-01
670           	2.125184e+00	1.144841e+00	9.803431e-01	-1.644980e+00	8.275919e-01	-2.472572e+00	1.650082e+00	8.224902e-02	1.062592e-01	4.609808e-19	1.062592e-01	-1.062592e-01
680           	2.122760e+00	1.144459e+00	9.783011e-01	-1.661576e+00	8.214170e-01	-2.482993e+00	1.652205e+00	8.307878e-02	1.061380e-01	4.447973e-19	1.061380e-01	-1.061380e-01
690           	2.123461e+00	1.145711e+00	9.777501e-01	-1.679612e+00	8.162810e-01	-2.495893e+00	1.656087e+00	8.398062e-02	1.061731e-01	4.251517e-19	1.061731e-01	-1.061731e-01
700           	2.126609e+00	1.148474e+00	9.781350e-01	-1.703388e+00	8.110962e-01	-2.514484e+00	1.662790e+00	8.516939e-02	1.063304e-01	3.816060e-19	1.063304e-01	-1.063304e-01
710           	2.131633e+00	1.151914e+00	9.797196e-01	-1.721940e+00	8.081521e-01	-2.530092e+00	1.669122e+00	8.609702e-02	1.065817e-01	3.612914e-19	1.065817e-01	-1.065817e-01
720           	2.139084e+00	1.156408e+00	9.826759e-01	-1.737324e+00	8.072889e-01	-2.544613e+00	1.675951e+00	8.686619e-02	1.069542e-01	4.203158e-19	1.069542e-01	-1.069542e-01
730           	2.146582e+00	1.160534e+00	9.860476e-01	-1.744865e+00	8.085949e-01	-2.553460e+00	1.681027e+00	8.724324e-02	1.073291e-01	4.630730e-19	1.073291e-01	-1.073291e-01
740           	2.154279e+00	1.164386e+00	9.898931e-01	-1.744932e+00	8.118702e-01	-2.556802e+00	1.684336e+00	8.724658e-02	1.077140e-01	4.931409e-19	1.077140e-01	-1.077140e-01
750           	2.162789e+00	1.168212e+00	9.945775e-01	-1.736342e+00	8.176535e-01	-2.553995e+00	1.685824e+00	8.681709e-02	1.081395e-01	5.215877e-19	1.081395e-01	-1.081395e-01
760           	2.168382e+00	1.170363e+00	9.980191e-01	-1.723436e+00	8.233450e-01	-2.546781e+00	1.685063e+00	8.617180e-02	1.084191e-01	5.472102e-19	1.084191e-01	-1.084191e-01
770           	2.173652e+00	1.171979e+00	1.001673e+00	-1.703056e+00	8.305786e-01	-2.533635e+00	1.682107e+00	8.515280e-02	1.086826e-01	5.756286e-19	1.086826e-01	-1.086826e-01
780           	2.175906e+00	1.172194e+00	1.003711e+00	-1.684828e+00	8.361083e-01	-2.520936e+00	1.678522e+00	8.424140e-02	1.087953e-01	6.049723e-19	1.087953e-01	-1.087953e-01
790           	2.176671e+00	1.171521e+00	1.005150e+00	-1.663704e+00	8.415049e-01	-2.505209e+00	1.673357e+00	8.318522e-02	1.088335e-01	6.382627e-19	1.088335e-01	-1.088335e-01
800           	2.175897e+00	1.170367e+00	1.005530e+00	-1.648377e+00	8.448786e-01	-2.493255e+00	1.669067e+00	8.241885e-02	1.087949e-01	6.709736e-19	1.087949e-01	-1.087949e-01
810           	2.173864e+00	1.168767e+00	1.005098e+00	-1.636688e+00	8.467174e-01	-2.483405e+00	1.665061e+00	8.183440e-02	1.086932e-01	7.033945e-19	1.086932e-01	-1.086932e-01
820           	2.171183e+00	1.167142e+00	1.004041e+00	-1.631008e+00	8.467573e-01	-2.477766e+00	1.662262e+00	8.155042e-02	1.085592e-01	7.364676e-19	1.085592e-01	-1.085592e-01
830           	2.168586e+00	1.165897e+00	1.002689e+00	-1.632079e+00	8.452282e-01	-2.477308e+00	1.661268e+00	8.160397e-02	1.084293e-01	7.709363e-19	1.084293e-01	-1.084293e-01
840           	2.166510e+00	1.165190e+00	1.001321e+00	-1.638690e+00	8.425296e-01	-2.481220e+00	1.661875e+00	8.193450e-02	1.083255e-01	8.024864e-19	1.083255e-01	-1.083255e-01
850           	2.165373e+00	1.165187e+00	1.000186e+00	-1.650009e+00	8.391248e-01	-2.489134e+00	1.664129e+00	8.250045e-02	1.082686e-01	8.177604e-19	1.082686e-01	-1.082686e-01
860           	2.165410e+00	1.165921e+00	9.994888e-01	-1.664321e+00	8.355075e-01	-2.499828e+00	1.667668e+00	8.321603e-02	1.082705e-01	7.807508e-19	1.082705e-01	-1.082705e-01
870           	2.166756e+00	1.167363e+00	9.993932e-01	-1.679697e+00	8.322370e-01	-2.511934e+00	1.672085e+00	8.398483e-02	1.083378e-01	7.474152e-19	1.083378e-01	-1.083378e-01
880           	2.169435e+00	1.169428e+00	1.000007e+00	-1.694218e+00	8.298198e-01	-2.524038e+00	1.676929e+00	8.471089e-02	1.084718e-01	7.157990e-19	1.084718e-01	-1.084718e-01
890           	2.173466e+00	1.172065e+00	1.001402e+00	-1.706628e+00	8.285455e-01	-2.535173e+00	1.681859e+00	8.533139e-02	1.086733e-01	6.835434e-19	1.086733e-01	-1.086733e-01
